Field characteristic;A;d;Edwards Curve Order;Montgomery Curve Order;P_x;P_y
4111;4;3;4022;4020;4110;2234
4127;1;2751;4130;4128;1;1406
4139;1;2759;4258;4256;1;91
4159;4;3;4070;4068;4158;2578
4211;1;2807;4242;4240;1;776
4219;4;2813;4274;4272;1;65
4231;4;3;4190;4188;4230;4139
4243;3;5;4182;4180;4242;4242
4259;1;2839;4210;4208;1;1973
4271;1;2847;4226;4224;1;748
4283;1;2855;4322;4320;1;1240
4327;3;5;4382;4380;4326;4326
4339;4;2893;4290;4288;1;1749
4363;3;5;4358;4356;4362;4362
4391;1;2927;4418;4416;1;1941
4423;3;5;4358;4356;4422;4422
4447;3;5;4382;4380;4446;4446
4451;1;2967;4578;4576;1;1377
4463;1;2975;4370;4368;1;458
4483;3;5;4358;4356;4482;4482
4507;3;5;4606;4604;4506;4506
4519;4;3;4478;4476;4518;2882
4523;1;3015;4482;4480;1;420
4547;1;3031;4642;4640;1;1166
4567;3;5;4638;4636;4566;4566
4583;1;3055;4674;4672;1;520
4591;4;3;4566;4564;4590;3362
4603;3;5;4710;4708;4602;4602
4639;4;3;4550;4548;4638;2691
4643;1;3095;4690;4688;1;226
4651;4;3101;4538;4536;1;341
4663;3;5;4678;4676;4662;4662
4679;1;3119;4786;4784;1;1287
4691;1;3127;4706;4704;1;1596
4703;1;3135;4642;4640;1;97
4723;3;5;4806;4804;4722;4722
4751;1;3167;4818;4816;1;2019
4759;4;3;4814;4812;4758;4690
4783;3;5;4662;4660;4782;4782
4787;1;3191;4802;4800;1;2102
4799;1;3199;4898;4896;1;120
4831;4;3;4734;4732;4830;2609
4871;1;3247;4914;4912;1;567
4903;3;5;4966;4964;4902;4902
4919;1;3279;4866;4864;1;438
4931;1;3287;4834;4832;1;1291
4943;1;3295;4914;4912;1;482
4951;4;3;4974;4972;4950;4258
4967;1;3311;5042;5040;1;338
4987;3;5;4910;4908;4986;4986
4999;4;3;4886;4884;4998;4899
5003;1;3335;4882;4880;1;596
5011;4;3341;5042;5040;1;1222
5023;3;5;5062;5060;5022;5022
5039;1;3359;4994;4992;1;2458
5051;1;3367;5010;5008;1;785
5059;4;3373;5098;5096;1;537
5087;1;3391;5090;5088;1;1662
5099;1;3399;5138;5136;1;101
5107;3;5;5118;5116;5106;5106
5119;4;3;5102;5100;5118;4824
5147;1;3431;5106;5104;1;1795
5167;3;5;5262;5260;5166;5166
5171;1;3447;5186;5184;1;2339
5179;4;3453;5074;5072;1;2057
5227;3;5;5358;5356;5226;5226
5231;1;3487;5266;5264;1;762
5279;1;3519;5298;5296;1;2519
5303;1;3535;5202;5200;1;103
5323;3;5;5462;5460;5322;5322
5347;3;5;5438;5436;5346;5346
5351;1;3567;5378;5376;1;373
5387;1;3591;5474;5472;1;352
5399;1;3599;5458;5456;1;2279
5407;3;5;5470;5468;5406;5406
5419;4;3613;5426;5424;1;2016
5431;4;3;5342;5340;5430;2813
5443;3;5;5382;5380;5442;5442
5471;1;3647;5394;5392;1;2096
5479;4;3;5462;5460;5478;2917
5483;1;3655;5410;5408;1;2040
5503;3;5;5462;5460;5502;5502
5507;1;3671;5490;5488;1;2274
5519;1;3679;5538;5536;1;1631
5527;3;5;5550;5548;5526;5526
5531;1;3687;5682;5680;1;1415
5563;3;5;5430;5428;5562;5562
5591;1;3727;5554;5552;1;248
5623;3;5;5574;5572;5622;5622
5639;1;3759;5570;5568;1;2179
5647;3;5;5758;5756;5646;5646
5651;1;3767;5730;5728;1;792
5659;4;3773;5602;5600;1;1807
5683;3;5;5702;5700;5682;5682
5711;1;3807;5746;5744;1;1868
5743;3;5;5798;5796;5742;5742
5779;4;3853;5642;5640;1;2327
5783;1;3855;5810;5808;1;1183
5791;4;3;5942;5940;5790;4252
5807;1;3871;5842;5840;1;132
5827;3;5;5838;5836;5826;5826
5839;4;3;5878;5876;5838;4614
5843;1;3895;5762;5760;1;621
5851;4;3901;5962;5960;1;2031
5867;1;3911;5938;5936;1;2530
5879;1;3919;5858;5856;1;2090
5903;1;3935;5810;5808;1;2383
5923;3;5;5862;5860;5922;5922
5927;1;3951;5906;5904;1;2012
5939;1;3959;5874;5872;1;109
5987;1;3991;5906;5904;1;2213
6007;3;5;6062;6060;6006;6006
6011;1;4007;6066;6064;1;2271
6043;3;5;6006;6004;6042;6042
6047;1;4031;5938;5936;1;1605
6067;3;5;6078;6076;6066;6066
6079;4;3;6118;6116;6078;3386
6091;4;4061;6122;6120;1;1234
6131;1;4087;6146;6144;1;2821
6143;1;4095;6018;6016;1;1961
6151;4;3;6134;6132;6150;5602
6163;3;5;6166;6164;6162;6162
6199;4;3;6302;6300;6198;5665
6203;1;4135;6242;6240;1;1702
6211;4;4141;6106;6104;1;949
6247;3;5;6174;6172;6246;6246
6263;1;4175;6290;6288;1;2771
6271;4;3;6190;6188;6270;6159
6287;1;4191;6402;6400;1;3012
6299;1;4199;6306;6304;1;1780
6311;1;4207;6418;6416;1;1787
6323;1;4215;6418;6416;1;1237
6343;3;5;6326;6324;6342;6342
6359;1;4239;6434;6432;1;498
6367;3;5;6270;6268;6366;6366
6379;4;4253;6426;6424;1;603
6427;3;5;6446;6444;6426;6426
6451;4;4301;6554;6552;1;254
6491;1;4327;6434;6432;1;734
6547;3;5;6430;6428;6546;6546
6551;1;4367;6498;6496;1;682
6563;1;4375;6610;6608;1;838
6571;4;4381;6626;6624;1;444
6599;1;4399;6690;6688;1;2238
6607;3;5;6526;6524;6606;6606
6619;4;4413;6578;6576;1;3239
6659;1;4439;6626;6624;1;2531
6679;4;3;6678;6676;6678;3800
6691;4;4461;6770;6768;1;409
6703;3;5;6710;6708;6702;6702
6719;1;4479;6626;6624;1;2742
6763;3;5;6694;6692;6762;6762
6779;1;4519;6818;6816;1;1064
6791;1;4527;6642;6640;1;1839
6803;1;4535;6674;6672;1;3054
6823;3;5;6902;6900;6822;6822
6827;1;4551;6674;6672;1;516
6863;1;4575;6962;6960;1;1001
6871;4;3;6926;6924;6870;4553
6883;3;5;6902;6900;6882;6882
6899;1;4599;6962;6960;1;638
6907;3;5;6910;6908;6906;6906
6911;1;4607;6914;6912;1;144
6947;1;4631;6818;6816;1;425
6959;1;4639;6818;6816;1;760
6967;3;5;7086;7084;6966;6966
6971;1;4647;6898;6896;1;1812
6983;1;4655;7010;7008;1;923
6991;4;3;6862;6860;6990;3696
7019;1;4679;7058;7056;1;2752
7027;3;5;7038;7036;7026;7026
7039;4;3;7086;7084;7038;5694
7043;1;4695;7058;7056;1;2841
7079;1;4719;7042;7040;1;119
7103;1;4735;7122;7120;1;725
7127;1;4751;7122;7120;1;280
7151;1;4767;7010;7008;1;687
7159;4;3;7286;7284;7158;4041
7187;1;4791;7314;7312;1;1760
7207;3;5;7374;7372;7206;7206
7211;1;4807;7058;7056;1;433
7219;4;4813;7162;7160;1;85
7243;3;5;7254;7252;7242;7242
7247;1;4831;7362;7360;1;1018
7283;1;4855;7394;7392;1;2889
7307;1;4871;7170;7168;1;2476
7331;1;4887;7298;7296;1;3372
7351;4;3;7318;7316;7350;6088
7411;4;4941;7434;7432;1;1599
7451;1;4967;7506;7504;1;1043
7459;4;4973;7458;7456;1;1688
7487;1;4991;7506;7504;1;3600
7499;1;4999;7378;7376;1;150
7507;3;5;7566;7564;7506;7506
7523;1;5015;7666;7664;1;2369
7547;1;5031;7618;7616;1;2368
7559;1;5039;7458;7456;1;1754
7583;1;5055;7538;7536;1;1312
7591;4;3;7438;7436;7590;7265
7603;3;5;7606;7604;7602;7602
7607;1;5071;7554;7552;1;1641
7639;4;3;7486;7484;7638;6530
7643;1;5095;7746;7744;1;2451
7687;3;5;7598;7596;7686;7686
7691;1;5127;7730;7728;1;1723
7699;4;5133;7794;7792;1;2160
7703;1;5135;7586;7584;1;755
7723;3;5;7798;7796;7722;7722
7727;1;5151;7698;7696;1;2069
7759;4;3;7790;7788;7758;6887
7823;1;5215;7682;7680;1;451
7867;3;5;7838;7836;7866;7866
7879;4;3;7958;7956;7878;6605
7883;1;5255;8018;8016;1;2855
7907;1;5271;7986;7984;1;1903
7919;1;5279;8018;8016;1;3023
7927;3;5;7998;7996;7926;7926
7951;4;3;8014;8012;7950;6475
7963;3;5;8054;8052;7962;7962
8011;4;5341;7930;7928;1;1856
8039;1;5359;8018;8016;1;430
8059;4;5373;8082;8080;1;1081
8087;1;5391;8178;8176;1;3266
8111;1;5407;8082;8080;1;156
8123;1;5415;8162;8160;1;1956
8147;1;5431;8162;8160;1;1430
8167;3;5;8238;8236;8166;8166
8171;1;5447;8306;8304;1;1542
8179;4;5453;8178;8176;1;286
8191;4;3;8230;8228;8190;8063
8219;1;5479;8322;8320;1;1065
8231;1;5487;8162;8160;1;2951
8243;1;5495;8194;8192;1;3838
8263;3;5;8198;8196;8262;8262
8287;3;5;8366;8364;8286;8286
8291;1;5527;8354;8352;1;302
8311;4;3;8270;8268;8310;4468
8363;1;5575;8306;8304;1;3156
8387;1;5591;8530;8528;1;2640
8419;4;5613;8354;8352;1;4130
8423;1;5615;8402;8400;1;4132
8431;4;3;8550;8548;8430;6384
8443;3;5;8342;8340;8442;8442
8447;1;5631;8498;8496;1;1357
8467;3;5;8414;8412;8466;8466
8527;3;5;8670;8668;8526;8526
8539;4;5693;8378;8376;1;1887
8543;1;5695;8690;8688;1;3391
8563;3;5;8438;8436;8562;8562
8599;4;3;8702;8700;8598;5178
8623;3;5;8550;8548;8622;8622
8627;1;5751;8562;8560;1;799
8647;3;5;8670;8668;8646;8646
8663;1;5775;8594;8592;1;1563
8699;1;5799;8642;8640;1;3705
8707;3;5;8670;8668;8706;8706
8719;4;3;8718;8716;8718;8334
8731;4;5821;8714;8712;1;2481
8747;1;5831;8642;8640;1;162
8779;4;5853;8858;8856;1;2003
8783;1;5855;8738;8736;1;1412
8803;3;5;8710;8708;8802;8802
8807;1;5871;8946;8944;1;1788
8819;1;5879;8882;8880;1;3848
8831;1;5887;8914;8912;1;2988
8839;4;3;8790;8788;8838;7703
8863;3;5;9014;9012;8862;8862
8867;1;5911;8738;8736;1;765
8887;3;5;9006;9004;8886;8886
8923;3;5;9046;9044;8922;8922
8951;1;5967;8786;8784;1;1045
8963;1;5975;8978;8976;1;314
8971;4;5981;9098;9096;1;3022
8999;1;5999;9026;9024;1;2136
9007;3;5;9022;9020;9006;9006
9011;1;6007;8978;8976;1;1147
9043;3;5;9078;9076;9042;9042
9059;1;6039;8930;8928;1;2306
9067;3;5;9230;9228;9066;9066
9091;4;6061;9018;9016;1;3853
9103;3;5;9062;9060;9102;9102
9127;3;5;9038;9036;9126;9126
9151;4;3;9206;9204;9150;5419
9187;3;5;9134;9132;9186;9186
9199;4;3;9158;9156;9198;5276
9203;1;6135;9122;9120;1;3359
9227;1;6151;9250;9248;1;2722
9239;1;6159;9266;9264;1;2145
9283;3;5;9382;9380;9282;9282
9311;1;6207;9394;9392;1;4010
9319;4;3;9318;9316;9318;7105
9323;1;6215;9282;9280;1;4360
9343;3;5;9446;9444;9342;9342
9371;1;6247;9506;9504;1;3078
9391;4;3;9486;9484;9390;6293
9403;3;5;9414;9412;9402;9402
9419;1;6279;9378;9376;1;3832
9431;1;6287;9442;9440;1;2044
9439;4;3;9310;9308;9438;7956
9463;3;5;9622;9620;9462;9462
9467;1;6311;9426;9424;1;1143
9479;1;6319;9538;9536;1;4296
9491;1;6327;9474;9472;1;4163
9511;4;3;9542;9540;9510;5027
9539;1;6359;9602;9600;1;4255
9547;3;5;9518;9516;9546;9546
9551;1;6367;9522;9520;1;670
9587;1;6391;9538;9536;1;2759
9619;4;6413;9586;9584;1;1181
9623;1;6415;9730;9728;1;3877
9631;4;3;9494;9492;9630;5916
9643;3;5;9494;9492;9642;9642
9679;4;3;9558;9556;9678;7052
9719;1;6479;9602;9600;1;1274
9739;4;6493;9690;9688;1;4784
9743;1;6495;9858;9856;1;4786
9767;1;6511;9682;9680;1;4139
9787;3;5;9854;9852;9786;9786
9791;1;6527;9794;9792;1;4040
9803;1;6535;9906;9904;1;2873
9811;4;6541;9954;9952;1;1125
9839;1;6559;9826;9824;1;4755
9851;1;6567;9826;9824;1;476
9859;4;6573;9802;9800;1;314
9871;4;3;10046;10044;9870;8182
9883;3;5;9782;9780;9882;9882
9887;1;6591;9890;9888;1;2627
9907;3;5;10046;10044;9906;9906
9923;1;6615;10082;10080;1;1540
9931;4;6621;9874;9872;1;1851
9967;3;5;9902;9900;9966;9966
